char1,char2,count,pmi,adj_prob
满,希,13,5.791218874631248,9.073935121363882e-06
望,的,38,0.3648428027078023,2.6523810354755964e-05
的,新,473,1.4264600103074803,0.0003301516394157782
新,世,49,2.628047261742945,3.4201755457448477e-05
年,新,59,0.8428455741357783,4.118170555080531e-05
附,图,293,10.253721873976481,0.0002045125377353552
央,总,23,3.465043199422008,1.6053885214720715e-05
家,主,62,1.7482127789695496,4.3275690578812364e-05
席,江,44,6.15103777031414,3.071178041077006e-05
江,泽,449,9.288707549734033,0.00031339975919172176
年,十,30,0.7235547085925645,2.0939850280070498e-05
月,三,18,1.967815523500051,1.2563910168042298e-05
月,日,2282,7.312406622536366,0.0015928246113040292
民,发,13,-1.1987314915482659,9.073935121363882e-06
社,记,281,5.464514431616963,0.00019613659762332699
者,兰,8,2.732623599159223,5.583960074685466e-06
兰,红,5,5.022174986576113,3.489975046678416e-06
光,摄,13,5.401635887010911,9.073935121363882e-06
友,们,33,4.027326233329555,2.3033835308077547e-05
士,们,26,3.512023914053016,1.8147870242727765e-05
生,们,30,0.7356431223379893,2.0939850280070498e-05
在,年,156,0.987867179649588,0.00010888722145636658
年,来,441,3.5630761683566745,0.0003078157991170363
临,之,28,4.861742016606438,1.954386026139913e-05
分,高,14,0.7174791505951901,9.771930130699565e-06
兴,地,44,3.5564484111421053,3.071178041077006e-05
地,通,7,-0.47014540060012455,4.885965065349782e-06
过,中,14,-0.6962161959976532,9.771930130699565e-06
央,人,29,1.6575564712287272,2.0241855270734814e-05
民,广,29,2.2590333939697897,2.0241855270734814e-05
播,电,90,6.846506801690417,6.28195508402115e-05
国,国,180,-0.1352854411180759,0.000125639101680423
际,广,8,2.471025023787218,5.583960074685466e-06
台,和,10,0.07618120449565655,6.979950093356832e-06
和,中,153,0.8610535319675756,0.00010679323642835953
央,电,76,4.70286744905693,5.304762070951193e-05
向,全,83,3.8988315353438128,5.793358577486171e-05
国,各,152,2.4794459158835984,0.00010609524141902386
族,人,78,3.1463238383363814,5.444361072818329e-05
向,香,6,3.0788549417291833,4.1879700560141e-06
港,特,67,5.976650854784315,4.676566562549078e-05
别,行,36,2.712950433593895,2.5127820336084596e-05
区,同,9,0.17995242112531346,6.281955084021149e-06
门,和,57,2.13935704215448,3.978571553213394e-05
和,台,8,-0.2781427951651698,5.583960074685466e-06
湾,同,58,5.735904878803228,4.048371054146963e-05
外,侨,11,5.353115700566641,7.677945102692516e-06
向,世,31,3.6178396929901213,2.1637845289406182e-05
界,各,77,4.798403385577639,5.374561571884761e-05
国,的,858,0.4186581430141245,0.0005988797180100162
的,朋,37,2.6061480906942016,2.582581534542028e-05
以,诚,6,3.162838094143036,4.1879700560141e-06
挚,的,13,3.7937186431380705,9.073935121363882e-06
的,问,375,2.0036856210881147,0.00026174812850088123
候,和,22,3.5553760779543837,1.535589020538503e-05
和,良,16,1.634746541064792,1.1167920149370931e-05
好,的,441,2.280382596330287,0.0003078157991170363
的,祝,49,2.121587486930883,3.4201755457448477e-05
是,中,198,1.348468256629553,0.0001382030118484653
国,发,42,-0.9649165946019179,2.9315790392098698e-05
展,历,9,1.8968656375504558,6.281955084021149e-06
史,上,122,4.865085053237259,8.515539113895336e-05
上,非,8,1.0873670855983508,5.583960074685466e-06
常,重,42,3.763562856387582,2.9315790392098698e-05
要,的,370,0.6094126118143536,0.00025825815345420283
的,很,11,-1.6428753409334995,7.677945102692516e-06
很,不,51,3.127761481673767,3.5597745476119845e-05
不,平,55,1.6623391339382225,3.838972551346258e-05
凡,的,38,2.6363344739842107,2.6523810354755964e-05
的,一,1317,1.2828571385865082,0.0009192594272950949
一,年,555,2.4425328912706794,0.0003873872301813042
国,人,630,2.2066494828830816,0.00043973685588148047
邓,小,158,7.629878783559844,0.00011028321147503795
平,同,106,4.15252584332817,7.398747098958243e-05
志,的,81,0.6612433493662373,5.653759575619034e-05
的,遗,28,2.4335314932456233,1.954386026139913e-05
续,把,8,3.2124409666813083,5.583960074685466e-06
把,建,24,2.4339905598619205,1.67518802240564e-05
设,有,92,2.4390683577425425,6.421554085888286e-05
有,中,152,1.0070192598755183,0.00010609524141902386
国,特,162,2.832759290362753,0.00011307519151238069
色,社,90,5.542460827840926,6.28195508402115e-05
义,事,33,3.3318439078350544,2.3033835308077547e-05
业,推,9,0.9209580617880907,6.281955084021149e-06
向,前,18,2.0246478676499513,1.2563910168042298e-05
国,政,356,2.6877768822178694,0.0002484862233235032
复,对,11,2.706908572656468,7.677945102692516e-06
对,香,33,4.084475317237187,2.3033835308077547e-05
港,行,10,1.4672226080738207,6.979950093356832e-06
使,主,11,0.6975955000053764,7.677945102692516e-06
并,按,8,3.8335157448264683,5.583960074685466e-06
度,自,16,2.115862611905362,1.1167920149370931e-05
治,的,41,-0.6891296399303949,2.8617795382763013e-05
的,方,243,0.6803692592781799,0.00016961278726857103
持,香,9,3.8253195272296745,6.281955084021149e-06
港,的,43,0.5177414370650908,3.001378540143438e-05
的,繁,36,1.752008988447161,2.5127820336084596e-05
荣,稳,19,6.456703708724172,1.3261905177377982e-05
国,共,97,2.294266474244698,6.770551590556128e-05
党,成,13,0.5538819239281152,9.073935121363882e-06
功,地,49,4.004220642927474,3.4201755457448477e-05
开,了,133,1.9140613467999001,9.283333624164588e-05
了,第,43,1.8135929227129752,3.001378540143438e-05
五,次,36,4.072937593438312,2.5127820336084596e-05
次,全,81,3.884358083921611,5.653759575619034e-05
国,代,52,0.8816156024960853,3.629574048545553e-05
举,邓,85,7.9687327528059875,5.932957579353308e-05
论,伟,56,7.150336043432417,3.908772052279826e-05
大,旗,84,5.34292857279294,5.8631580784197395e-05
年,历,25,1.922474464327133,1.744987523339208e-05
望,新,8,1.5647380932669188,5.583960074685466e-06
新,的,818,1.8232069684232506,0.0005709599176365889
的,世,109,0.7272126398885447,7.608145601758947e-05
定,了,174,2.8791153844627195,0.00012145113162440888
了,中,150,0.9961532335154908,0.00010469925140035249
跨,世,78,8.181265683699305,5.444361072818329e-05
纪,发,24,2.214223695546771,1.67518802240564e-05
展,的,494,1.9090693139116475,0.00034480953461182753
的,行,169,-0.45236189992896764,0.00011796115657773047
动,纲,5,4.875922942443386,3.489975046678416e-06
在,这,495,4.017572303755552,0.0003455075296211632
这,一,719,3.393863858145634,0.0005018584117123563
年,中,101,0.5307270850833707,7.049749594290401e-05
的,改,163,1.0653633343181248,0.00011377318652171638
革,开,225,5.8948477407100555,0.00015704887710052873
放,和,87,2.8791995621595747,6.072556581220444e-05
和,现,83,1.5676718499924922,5.793358577486171e-05
化,建,160,4.4468958568666785,0.00011167920149370932
续,向,6,2.0746783415417323,4.1879700560141e-06
前,迈,5,4.298050565659936,3.489975046678416e-06
济,保,8,1.0496050279304083,5.583960074685466e-06
持,了,68,2.1649911510343505,4.746366063482646e-05
高,增,32,2.752481118962603,2.2335840298741863e-05
低,通,28,5.212520474578186,1.954386026139913e-05
的,良,81,1.8240075692002162,5.653759575619034e-05
好,发,11,-0.07587895348519386,7.677945102692516e-06
展,态,9,2.8075982994533684,6.281955084021149e-06
业,生,85,1.8089039828808808,5.932957579353308e-05
次,获,14,3.961561097403732,9.771930130699565e-06
得,好,40,2.79671758123321,2.791980037342733e-05
的,收,86,0.5939145019145802,6.002757080286876e-05
业,改,158,3.9639537571523027,0.00011028321147503795
革,继,5,2.990936382176557,3.489975046678416e-06
续,深,12,3.7949623584598338,8.3759401120282e-06
民,生,98,2.1096313422107507,6.840351091489695e-05
步,改,23,3.3462024858979618,1.6053885214720715e-05
外,经,20,1.012544123199721,1.3959900186713665e-05
济,技,18,1.913993302358787,1.2563910168042298e-05
术,合,12,1.5257892569572586,8.3759401120282e-06
作,与,25,1.141550034438838,1.744987523339208e-05
与,交,12,1.4872644182419992,8.3759401120282e-06
断,扩,18,6.832646677818932,1.2563910168042298e-05
主,法,16,0.672914249556738,1.1167920149370931e-05
制,建,40,2.312390729367976,2.791980037342733e-05
明,建,210,5.113199836925274,0.00014657895196049347
设,和,130,2.677085249085834,9.073935121363882e-05
和,其,76,2.447212140029101,5.304762070951193e-05
他,各,9,0.30330736562144156,6.281955084021149e-06
项,事,21,2.7327957181924036,1.4657895196049349e-05
业,都,19,1.0426277115043723,1.3261905177377982e-05
都,有,149,3.2558406116701484,0.0001040012563910168
有,新,76,1.0947061823178796,5.304762070951193e-05
的,进,140,-0.34858780951719404,9.771930130699566e-05
们,十,5,-0.9092821831044929,3.489975046678416e-06
分,关,27,1.6454468113708196,1.884586525206345e-05
近,一,34,1.311624628502029,2.373183031741323e-05
个,时,50,1.3567940833187175,3.489975046678416e-05
期,一,18,0.12660647782901563,1.2563910168042298e-05
些,国,86,1.9009873321132753,6.002757080286876e-05
家,和,146,1.6779285576809015,0.00010190727136300975
和,地,122,1.0887376746882118,8.515539113895336e-05
区,发,46,1.6135494343513432,3.210777042944143e-05
生,的,241,0.3588537516798041,0.00016821679724989967
的,金,131,0.5158908994488265,9.143734622297451e-05
融,风,79,6.20683476776118,5.5141605737518974e-05
们,相,26,2.367325708256106,1.8147870242727765e-05
过,这,47,2.7044542270123415,3.2805765438777115e-05
区,的,424,1.8489662557527868,0.0002959498839583297
的,努,94,2.6776799291989084,6.561153087755423e-05
力,以,7,-0.407323406737241,4.885965065349782e-06
及,有,22,0.840465290055364,1.535589020538503e-05
关,的,109,-0.3830433016220149,7.608145601758947e-05
的,国,350,-0.7568108981646184,0.0002442982532674891
际,合,14,2.0481672203003916,9.771930130699565e-06
会,逐,5,1.7251160856498622,3.489975046678416e-06
国,改,38,0.5454461660798291,2.6523810354755964e-05
革,和,99,3.1351657691148054,6.910150592423264e-05
和,发,242,2.13133472209392,0.00016891479225923534
的,全,201,0.4702287276841894,0.00014029699687647233
续,保,49,5.379203281487105,3.4201755457448477e-05
了,稳,9,0.952646589146645,6.281955084021149e-06
的,外,131,0.4338353304585382,9.143734622297451e-05
交,工,18,1.0537619130970974,1.2563910168042298e-05
作,取,32,2.2708682983380157,2.2335840298741863e-05
得,了,280,3.4476700557257396,0.00019543860261399132
了,重,111,2.0657452823521276,7.747744603626084e-05
要,成,34,0.548001996062662,2.373183031741323e-05
过,高,22,1.4704533714619332,1.535589020538503e-05
层,互,10,6.054043106681656,6.979950093356832e-06
国,与,61,0.826855594574739,4.257769556947668e-05
与,美,57,3.4094622666383656,3.978571553213394e-05
本,等,8,-0.2695379130903204,5.583960074685466e-06
等,大,42,1.1274523939557188,2.9315790392098698e-05
国,确,5,-0.9331544642884639,3.489975046678416e-06
了,双,12,1.6636468387807821,8.3759401120282e-06
方,关,15,0.46679937462369747,1.0469925140035249e-05
来,发,21,0.10651811565179091,1.4657895196049349e-05
的,目,179,1.3732755162559744,0.0001249411066710873
标,和,19,1.333030413113245,1.3261905177377982e-05
和,指,12,0.0811812403636737,8.3759401120282e-06
导,方,14,1.175060232605515,9.771930130699565e-06
与,周,10,2.5404595019631135,6.979950093356832e-06
边,国,13,0.9817938808983614,9.073935121363882e-06
和,广,50,2.156551283125626,3.489975046678416e-05
大,发,41,-0.2812218874484619,2.8617795382763013e-05
家,的,460,1.1168037100723038,0.0003210777042944143
的,友,89,1.9509022140547345,6.21215558308758e-05
好,合,81,3.874550313749279,5.653759575619034e-05
作,进,25,0.3484444235140217,1.744987523339208e-05
步,加,105,5.005200415348337,7.328947598024674e-05
国,积,7,-0.573860268967172,4.885965065349782e-06
极,参,39,5.710499333236013,2.7221805364091645e-05
与,亚,6,0.845815997154302,4.1879700560141e-06
亚,太,15,4.964530283198723,1.0469925140035249e-05
合,组,18,2.2420011235991435,1.2563910168042298e-05
织,的,81,1.2127989730020472,5.653759575619034e-05
的,活,103,0.3912670339628959,7.189348596157538e-05
加,了,207,2.754270423487472,0.00014448496693248643
了,东,22,0.840838426657998,1.535589020538503e-05
中,日,51,0.19626875275199016,3.5597745476119845e-05
式,会,7,0.3863063768274349,4.885965065349782e-06
些,外,13,1.7835966344703045,9.073935121363882e-06
交,活,7,1.2130683147420478,4.885965065349782e-06
合,和,11,-1.1884137153257543,7.677945102692516e-06
平,与,56,3.565272643826435,3.908772052279826e-05
与,发,64,2.046080899446468,4.4671680597483725e-05
的,时,336,0.9856027495522822,0.00023452632313678958
代,主,7,-0.07810248864954455,4.885965065349782e-06
向,多,5,-0.006574964515000379,3.489975046678416e-06
化,的,320,1.6758989490239553,0.00022335840298741863
的,趋,28,1.6827032456976714,1.954386026139913e-05
于,促,16,4.003115980842351,1.1167920149370931e-05
进,国,44,-0.4344726643507866,3.071178041077006e-05
际,社,50,3.784897387729638,3.489975046678416e-05
会,的,363,0.3537402372990689,0.00025337218838885305
作,和,60,0.39908082844831433,4.1879700560140996e-05
和,共,11,-0.2765092471051285,7.677945102692516e-06
同,发,49,1.3162150208239976,3.4201755457448477e-05
展,作,35,1.139794204031155,2.4429825326748915e-05
出,了,587,3.536875953319904,0.0004097230704800461
了,积,43,2.7784239196220115,3.001378540143438e-05
极,的,72,0.7522420071619114,5.025564067216919e-05
的,贡,97,3.281877191560894,6.770551590556128e-05
民,将,11,0.09318361259876,7.677945102692516e-06
心,地,34,1.7180885465285733,2.373183031741323e-05
地,开,64,1.785821048036617,4.4671680597483725e-05
创,新,11,1.3566771578622534,7.677945102692516e-06
的,业,51,-2.4263117511197603,3.5597745476119845e-05
管,我,6,0.6359446979909908,4.1879700560141e-06
们,在,180,2.3615909518696325,0.000125639101680423
在,经,96,0.8903666464873686,6.70075208962256e-05
济,社,27,1.684269940366888,1.884586525206345e-05
会,发,103,1.5053567035912794,7.189348596157538e-05
展,中,66,1.3652320832457645,4.6067670616155094e-05
中,还,18,0.530082669110592,1.2563910168042298e-05
还,面,7,0.5895843740222355,4.885965065349782e-06
少,困,5,2.0145934062728252,3.489975046678416e-06
但,我,29,3.3635031302590255,2.0241855270734814e-05
们,有,55,0.7234443486210987,3.838972551346258e-05
有,邓,5,1.0986384333026005,3.489975046678416e-06
论,的,119,1.4224995124506967,8.30614061109463e-05
的,指,131,1.3790527664307677,9.143734622297451e-05
有,改,8,-0.9773497880067439,5.583960074685466e-06
放,近,6,2.2996153577325047,4.1879700560141e-06
来,取,9,0.9106524223817756,6.281955084021149e-06
得,的,126,0.17719663773302344,8.79473711762961e-05
的,伟,83,2.2832796365443673,5.793358577486171e-05
大,成,59,0.6574354837048342,4.118170555080531e-05
就,和,12,-1.1255593293821564,8.3759401120282e-06
和,积,16,1.188490311175228,1.1167920149370931e-05
累,的,15,1.0665968823444727,1.0469925140035249e-05
的,丰,31,1.0460364539237066,2.1637845289406182e-05
富,经,5,1.012544123199721,3.489975046678416e-06
还,有,82,2.4901173833370205,5.723559076552603e-05
有,其,30,1.261601279351043,2.0939850280070498e-05
他,的,237,0.46443151615195427,0.00016542481721255694
的,各,212,1.3785553844540157,0.00014797494197916485
种,有,26,0.6707903030933904,1.8147870242727765e-05
利,条,23,3.2841509805835103,1.6053885214720715e-05
们,一,94,0.8459708568375821,6.561153087755423e-05
定,能,43,2.917952335897963,3.001378540143438e-05
服,这,6,1.1594968413356714,4.1879700560141e-06
些,困,10,2.289157903774714,6.979950093356832e-06
续,稳,20,5.40254040897332,1.3959900186713665e-05
要,我,35,1.5302900402803958,2.4429825326748915e-05
们,进,19,0.1416211838113758,1.3261905177377982e-05
步,解,38,4.427851098737056,2.6523810354755964e-05
住,机,31,3.8046995853425454,2.1637845289406182e-05
义,的,201,1.8145396184573097,0.00014029699687647233
的,道,76,-0.05842633213501272,5.304762070951193e-05
路,就,6,1.5042265772628434,4.1879700560141e-06
就,会,114,2.602262567646837,7.957143106426789e-05
会,越,12,1.7343938992378731,8.3759401120282e-06
现,祖,17,3.953105023328785,1.1865915158706616e-05
的,完,25,-0.2242504171680048,1.744987523339208e-05
全,统,26,1.840886412510843,1.8147870242727765e-05
是,海,24,0.7562162759675813,1.67518802240564e-05
外,全,7,-0.02848177801809375,4.885965065349782e-06
体,中,15,-0.6274702139770749,1.0469925140035249e-05
人,的,631,0.5835610024662885,0.0004404348508908161
的,共,116,0.9714511546359458,8.096742108293925e-05
同,心,14,0.9339556740742383,9.771930130699565e-06
方,的,144,-0.12533005265250793,0.00010051128134433838
的,合,195,0.7392237068068814,0.00013610902682045824
和,努,8,1.2736800522704712,5.583960074685466e-06
针,和,21,3.2015846343915366,1.4657895196049349e-05
和,澳,9,2.8411974185322184,6.281955084021149e-06
年,月,1002,5.342832693170501,0.0006993909993543546
门,的,161,1.4205935664313996,0.00011237719650304501
的,回,62,0.7282362446590206,4.3275690578812364e-05
够,顺,5,6.404162040916009,3.489975046678416e-06
利,实,21,1.5561907651584237,1.4657895196049349e-05
湾,是,8,1.3586237497519114,5.583960074685466e-06
