char1,char2,count,pmi,adj_prob
迈,向,33,7.366483342273473,2.3033835308077547e-05
充,满,115,8.929217253819532,8.026942607360358e-05
希,望,508,10.146130767241768,0.0003545814647425271
世,纪,507,8.215984487692715,0.0003538834697331914
一,九,159,4.153645058147324,0.00011098120648437364
九,九,140,8.33551275999974,9.771930130699566e-05
九,八,52,6.926060815508465,3.629574048545553e-05
八,年,41,3.037077734257966,2.8617795382763013e-05
新,年,320,3.1189277773179263,0.00022335840298741863
讲,话,234,8.525803655801298,0.0001633308321845499
图,片,627,9.21026848200969,0.0004376428708534734
中,共,313,4.549083359477053,0.00021847243792206885
共,中,229,4.050778411089593,0.00015984085713787146
中,央,1287,6.940513588208017,0.0008983195770150244
总,书,97,4.851138755704901,6.770551590556128e-05
书,记,517,7.72991204400885,0.00036086341982654826
国,家,2332,5.028874025274552,0.0016277243617708133
主,席,673,7.6571839593157796,0.00046975064128291485
泽,民,451,7.243580944565403,0.00031479574921039314
九,七,75,8.26277115330222,5.2349625700176245e-05
七,年,61,4.569429349694191,4.257769556947668e-05
十,二,140,5.755982304085254,9.771930130699566e-05
二,月,39,3.396483479014958,2.7221805364091645e-05
三,十,148,5.1574553082255035,0.00010330326138168112
十,一,190,2.6265682743444962,0.00013261905177377981
一,日,62,-0.08405628174992423,4.3275690578812364e-05
发,表,301,4.604348267158303,0.00021009649781004067
新,华,1219,6.637664237145341,0.0008508559163801979
华,社,1177,7.426519408041246,0.0008215401259880992
记,者,2158,7.891905225393246,0.0015062732301464044
红,光,6,3.9700445937807527,4.1879700560141e-06
同,胞,145,7.818262495798948,0.00010120927635367407
朋,友,179,11.003265999971786,0.0001249411066710873
女,士,41,6.495489608052166,2.8617795382763013e-05
先,生,167,4.9244967016087156,0.0001165651665590591
来,临,57,5.3664813545648204,3.978571553213394e-05
之,际,105,4.989644263452661,7.328947598024674e-05
十,分,315,5.565790950229024,0.00021986842794074023
高,兴,121,5.863661113668207,8.445739612961767e-05
通,过,737,7.2017897109854925,0.0005144223218803986
人,民,2148,5.436910073189329,0.0014992932800530477
广,播,128,8.342661845271898,8.934336119496745e-05
电,台,55,4.387181750979798,3.838972551346258e-05
中,国,3527,4.721798203465365,0.002461828397926955
国,际,1062,5.72357519430116,0.0007412706999144956
电,视,486,7.565779627341879,0.00033922557453714206
视,台,137,7.33478413574612,9.56253162789886e-05
全,国,1614,4.765044491005913,0.0011265639450677928
各,族,77,4.688959425092341,5.374561571884761e-05
香,港,561,10.46145604967555,0.0003915752002373183
特,别,528,8.094592031796745,0.00036854136492924075
行,政,325,4.129551413540174,0.00022684837803409706
政,区,44,1.7978639830305312,3.071178041077006e-05
澳,门,66,7.794315628163116,4.6067670616155094e-05
台,湾,321,9.740986730237143,0.00022405639799675433
海,外,93,4.650812529640725,6.491353586821854e-05
侨,胞,21,9.806423753234549,1.4657895196049349e-05
世,界,1280,8.780849509572846,0.0008934336119496745
各,国,182,2.487612496899781,0.00012703509169909434
致,以,41,4.239326067561418,2.8617795382763013e-05
诚,挚,12,12.019827391343743,8.3759401120282e-06
问,候,85,6.914581450095114,5.932957579353308e-05
良,好,271,7.904332369358298,0.00018915664752997016
祝,愿,69,9.045230998873885,4.8161655644162146e-05
发,展,3318,7.217995871383375,0.002315947440975797
历,史,740,9.988630435313382,0.0005165163069084057
非,常,164,7.829300227917982,0.00011447118153105205
重,要,1034,6.117300024399621,0.0007217268396530965
平,凡,39,7.545486130599211,2.7221805364091645e-05
决,心,90,4.8237438419920435,6.28195508402115e-05
继,承,68,7.995315436733247,4.746366063482646e-05
小,平,415,6.362079998541706,0.00028966792887430854
同,志,878,7.596251572904184,0.0006128396181967299
遗,志,5,4.795945999192767,3.489975046678416e-06
继,续,567,9.817662935749441,0.0003957631702933324
建,设,1823,7.768331290958099,0.0012724449020189506
特,色,234,7.3565936389543625,0.0001633308321845499
社,会,2072,6.58605504394298,0.0014462456593435358
会,主,721,4.866472757998887,0.0005032544017310276
主,义,1204,7.622533701360737,0.0008403859912401627
事,业,503,5.119525981985897,0.0003510914896958487
推,向,69,5.335665275637926,4.8161655644162146e-05
前,进,102,3.462623408039481,7.119549095223969e-05
政,府,1626,8.113761031516542,0.0011349398851798209
顺,利,149,8.04626890664591,0.0001040012563910168
恢,复,186,11.197233097459412,0.00012982707173643708
行,使,36,2.6975642891790894,2.5127820336084596e-05
主,权,64,4.42592886692159,4.4671680597483725e-05
按,照,276,10.016014338232543,0.00019264662257664859
一,国,62,-1.6703273494913056,4.3275690578812364e-05
国,两,62,1.2926785701466892,4.3275690578812364e-05
两,制,62,3.293866780570336,4.3275690578812364e-05
港,人,20,1.6470219362315792,1.3959900186713665e-05
人,治,12,-0.289421706798317,8.3759401120282e-06
治,港,11,3.399676642994191,7.677945102692516e-06
高,度,229,5.169005996691226,0.00015984085713787146
自,治,446,6.591237502936881,0.00031130577416371474
方,针,234,7.733665642048519,0.0001633308321845499
保,持,366,7.086031644518474,0.00025546617341686007
繁,荣,162,10.377593176665261,0.00011307519151238069
稳,定,559,8.306086875305168,0.00039017921021864695
共,产,192,5.037432412293169,0.0001340150417924512
产,党,165,4.567432703441959,0.00011516917654038773
成,功,345,6.985334720143117,0.00024080827822081072
召,开,276,8.178275693043354,0.00019264662257664859
第,十,156,5.127762902193741,0.00010888722145636658
十,五,538,7.636148325531241,0.0003755213150225976
代,表,694,7.457218699045981,0.0004844085364789642
表,大,77,2.1791381283205267,5.374561571884761e-05
大,会,251,2.060512708037848,0.0001751967473432565
高,举,106,4.787466214636485,7.398747098958243e-05
邓,小,239,8.22696484336349,0.0001668208072312283
平,理,239,5.106950034270526,0.0001668208072312283
理,论,598,7.337505945743597,0.0004174010155827386
伟,大,217,6.131866644256966,0.00015146491702584325
旗,帜,139,12.397106083199645,9.702130629765997e-05
总,结,113,4.850753788592939,7.887343605493221e-05
百,年,74,3.4529550133598943,5.165163069084056e-05
展,望,27,3.5537530650742353,1.884586525206345e-05
制,定,270,5.267959165525146,0.00018845865252063447
行,动,282,4.0836207023033175,0.00019683459263266268
纲,领,37,8.54298324041964,2.582581534542028e-05
改,革,1291,8.817381862026409,0.000901111557052367
开,放,450,6.682272105484496,0.00031409775420105745
