pos1,pos2,count,mi
n,w,60327,0.7821688418362078
n,n,38787,-0.25860903381888034
v,n,34348,-0.12960541372009632
n,v,32933,-0.18561300559694413
u,n,32139,1.0738265706202228
v,v,30484,0.007255993455552615
w,v,29991,0.20406237557842574
d,v,29840,1.921669495391558
v,w,29402,0.04963001310390646
w,n,25524,-0.33764809615913427
v,u,23968,0.9643197779863567
m,q,21934,4.066500764475359
n,u,20554,0.438278714786533
nr,nr,15622,3.8509773815880433
vn,n,15195,0.8100706780891408
n,vn,12508,0.5302614268744873
w,r,12241,1.4261185110545418
n,d,12007,0.308990178622029
vn,w,11854,0.855395195314314
p,n,11784,0.5322598500807609
w,d,11462,0.7666529401496389
w,p,11333,1.0103741249192648
v,m,10997,0.695332794659157
a,n,10923,0.6417389446903582
w,w,9937,-1.2950730356832176
m,n,9390,-0.39654212192631216
u,vn,9207,1.6918971123090116
a,u,9156,2.000200925764139
w,c,8997,1.3253439919868892
w,nr,8330,0.7452880807364226
r,v,8127,0.6106956416592353
n,c,8103,0.6496764168880002
w,ns,7962,1.0197300278824408
q,n,7901,0.6807818346795274
ns,n,7894,0.4768928793907031
n,f,7790,1.159659820297697
v,r,7087,0.4173150694308278
nr,w,6936,0.38471903367145677
v,a,6924,0.2910185200793674
r,n,6676,0.01792141850334967
v,p,6622,0.014854252640897625
c,n,6519,0.3260489230445435
a,w,6486,0.2933179564477119
c,v,6147,0.5503160164698212
w,m,5996,0.04062405057041299
f,w,5993,1.1771657839170475
d,a,5971,2.0226035508984266
q,w,5878,0.6576191617780504
n,p,5865,-0.4646323672641503
u,m,5583,1.0166682888356686
ad,v,5503,2.493070203936907
n,nr,5473,-0.3853762510481153
b,n,5466,1.62022548838763
u,a,5289,1.201740811502071
u,v,5285,-1.221487809542796
p,v,5233,-0.32982403774505914
v,ns,5051,0.14283922290709722
v,d,4948,-0.6656174311049935
v,vn,4735,-0.5668026492708869
w,t,4710,0.6926994990429008
t,t,4584,3.593716563093231
m,w,4441,-1.073235479033118
p,ns,4313,2.1202239224114665
u,w,4282,-1.4305945395554271
f,v,4189,0.5659813483412365
p,r,4175,1.8591782431818529
d,d,4120,1.0153995927990214
n,m,4096,-1.0338403101165625
n,a,4047,-0.7880850730417666
nr,v,3842,-0.5620392917567556
m,m,3828,0.7769778474820929
m,v,3810,-1.3888409984914505
d,p,3525,1.05042868622722
vn,vn,3393,1.0686998689199863
t,w,3362,0.0815734036559932
w,a,3204,-0.6003840815633643
r,d,3152,1.1945016726719235
ns,v,2912,-0.6528180007083901
t,n,2911,-0.5297787109246268
i,w,2906,1.920753799355377
t,v,2773,-0.2908106504125999
p,t,2748,1.9002874932467302
ns,w,2722,-0.6556493435311874
vn,v,2677,-1.3858016690844241
l,w,2672,1.5550433455618877
w,vn,2634,-1.192582754054923
vn,u,2593,-0.12779012578345608
j,n,2584,0.4407713271039287
n,n]nt,2488,0.8893053090555245
v,f,2438,-0.21191466460720318
r,u,2404,0.15741611953570173
nr,n,2360,-1.574145234768393
a,vn,2267,0.7948186247949984
m,r,2220,0.3467920226581837
m,p,2219,0.041589235129620324
q,v,2179,-0.8685519466292796
m,nr,2161,0.18243400771653384
vn,c,2145,1.1528541553043476
w,j,2105,0.6755277654775246
v,c,2090,-1.0009260639499589
p,m,2077,0.4960579333530757
m,ns,2039,0.43822428218120174
ns,u,1984,0.09759014556824025
r,m,1949,0.7097258518621571
ns,n]nt,1946,3.5670772167837117
f,u,1928,0.7504869917931265
v,j,1868,0.2828730119182312
v,t,1848,-0.8773917793563842
y,w,1833,2.672704715537691
u,ns,1822,-0.02887381897405037
c,vn,1806,0.8957886711524884
w,ad,1770,1.0821242972554204
v,b,1735,0.27824274288243117
r,w,1734,-1.5234114081701957
Ng,w,1720,1.307968112074747
m,a,1706,-0.1258772322802702
ns,ns,1665,1.2696883240882784
r,p,1662,0.5312046933111534
w,u,1622,-2.7006150509399243
c,w,1606,-1.2915826298733628
u,r,1602,-0.42865279111128085
ns,t,1570,1.6153039886603073
w,nz,1542,1.5765525804115437
c,d,1529,0.4932833285777054
n]nt,v,1497,0.46209648068848763
w,b,1492,0.2808835909872426
m,t,1463,0.38966555905475586
w,l,1457,0.801862225359201
n,r,1440,-2.18614188536224
u,b,1416,1.28446138624781
c,p,1410,0.6364402578283183
t,p,1400,0.9334801241849944
an,w,1373,1.6675152460120364
u,d,1372,-1.2168494091605462
p,a,1332,0.11826890298506239
i,u,1320,1.9917515561848984
v,nr,1299,-2.155955959383803
q,a,1287,0.7939310277490899
w,i,1281,0.8567198312485647
n,ad,1273,0.0819276634473027
n]nt,n,1236,-0.12333428106086838
f,n,1211,-1.533460954426272
f,d,1210,0.7246439021161526
q,f,1207,1.7043190643432655
q,u,1197,-0.4287885147132331
w,nt,1177,1.2984145812304582
nr,p,1173,-0.06338223358903043
vn,d,1162,-0.6395473488411906
j,j,1145,3.8796510177590386
c,r,1134,0.6267185139724972
