char1,char2,count,pmi,adj_prob
年,俗,7,5.476925119748209,3.599471391915587e-05
巳,蛇,10,12.925354154680667,5.142101988450839e-05
蛇,年,20,6.925624685363878,0.00010284203976901678
年,春,37,4.96903372905215,0.00019025777357268103
是,中,49,2.52683380878601,0.0002519629974340911
来,的,35,2.068192459159355,0.00017997356959577936
的,首,13,2.2211605278287423,6.684732584986091e-05
遗,成,12,5.410390304845791,6.170522386141006e-05
后,的,24,2.910608333451005,0.00012341044772282012
的,春,22,2.149389285208118,0.00011312624374591846
年,味,10,5.24525488482375,5.142101988450839e-05
国,年,10,-0.15433061921752061,5.142101988450839e-05
年,的,51,1.2620807039523827,0.00026224720141099277
的,独,5,2.876071906112463,2.5710509942254194e-05
载,着,5,5.723093171118664,2.5710509942254194e-05
的,传,16,1.5429165558018463,8.227363181521342e-05
国,人,40,1.379424385595199,0.00020568407953803355
人,的,31,0.11100065283378177,0.000159405161641976
也,是,53,6.070116605369458,0.0002725314053878945
的,文,26,1.1048364098615107,0.00013369465169972181
节,的,12,1.0273045581601021,6.170522386141006e-05
彩,的,7,2.698597930641678,3.599471391915587e-05
的,画,6,2.357746598421597,3.085261193070503e-05
客,们,5,4.296697192733532,2.5710509942254194e-05
现,的,7,-0.8424212224918809,3.599471391915587e-05
的,必,7,2.152045367653755,3.599471391915587e-05
更,强,6,1.2127583742336365,3.085261193070503e-05
强,了,6,0.897770635569255,3.085261193070503e-05
的,第,9,1.7933314751045268,4.627891789605755e-05
节,文,7,3.134061006088461,3.599471391915587e-05
会,上,40,3.532435734167371,0.00020568407953803355
的,古,6,1.7467888891674963,3.085261193070503e-05
亮,的,9,3.0903143556859027,4.627891789605755e-05
海,的,5,0.06912473385472942,2.5710509942254194e-05
的,特,8,0.3643192523450833,4.113681590760671e-05
情,的,11,1.5107150397318398,5.656312187295923e-05
是,对,8,2.103337087120066,4.113681590760671e-05
等,传,6,3.1012864381160785,3.085261193070503e-05
品,的,9,0.6228751584472394,4.627891789605755e-05
的,感,5,0.6186840634198112,2.5710509942254194e-05
新,的,131,1.9958219734089568,0.0006736153604870599
的,一,81,1.3704318580527126,0.00041651026106451797
在,山,10,3.2039268072699154,5.142101988450839e-05
美,的,6,0.6362459218156985,3.085261193070503e-05
的,花,6,1.6313116717475604,3.085261193070503e-05
等,各,6,2.677885465902608,3.085261193070503e-05
度,的,21,1.703414946939454,0.00010798414175746762
年,来,49,3.9858109197424394,0.0002519629974340911
这,是,56,5.174517988380438,0.00028795771135324696
又,有,9,5.029836093185549,4.627891789605755e-05
