pos1,pos2,count,mi
n,x,90043,0.520284638348827
n,n,72893,-0.11440022792924547
v,n,55087,0.04159651537416399
x,v,50947,0.40998653726646034
n,v,49602,-0.1045741055310327
v,x,45418,0.09299981562058514
x,n,43937,-0.36878239970243015
v,v,30038,-0.2681185161534071
x,x,26556,-0.7653298899105785
m,m,21663,2.689685352761953
uj,n,20261,0.970267791785418
n,vn,19310,0.47092726375941896
d,v,17922,1.397742856394245
vn,n,16340,0.23793760574126116
vn,x,15793,0.5186658896698414
a,n,15029,0.539243514833035
n,uj,14143,0.4357621612137152
p,n,13689,0.4836916951957241
m,x,13659,0.05170850259925414
m,n,13340,-0.3122357153977874
x,p,13151,0.9606008329798023
ns,n,12487,0.3460882052080227
x,d,11964,0.7284710566668602
x,ns,11909,0.7977083527518837
x,m,10815,-0.08873841459716057
v,m,9573,-0.1806256807260429
n,d,9324,-0.10716958855373483
v,vn,8876,-0.0903742039314831
x,r,8584,1.2470912026810224
v,a,8159,0.21828639314314868
n,c,8056,0.7043195321004724
n,p,7864,-0.25719818545495404
a,x,7597,-0.1151527578488799
c,n,7394,0.5829564121160627
n,a,7183,-0.5255845557849551
vn,v,7056,-0.40833980444972573
x,a,6904,-0.10677686755961943
v,ns,6888,0.09191651028775581
v,uj,6646,-0.09370269243182863
x,nr,6616,0.6300339319032845
n,nr,6403,0.10686096812734491
a,v,6353,-0.1377874719980159
l,x,6352,1.1523481180335997
n,m,6278,-1.3493568850944953
nr,x,6267,0.36888504894768137
v,p,6267,-0.02462139005717077
r,n,6035,0.19724151860039948
x,vn,5909,-0.7614732572742969
n,f,5809,0.598032203041562
i,x,5806,1.5531530415093984
ns,x,5569,-0.4889974890097737
v,d,5562,-0.2924497243858149
f,x,5358,0.8156240406947259
nr,n,5284,-0.2071104969223887
m,v,5170,-1.1145500889828994
p,v,5136,-0.3654001495642438
nr,v,5109,0.30950807951502063
v,ul,4980,2.2410037505669598
ns,v,4876,-0.4453605677306686
r,v,4835,0.44261174460675745
t,x,4821,0.7973369056611863
x,t,4556,1.000002525142852
v,r,4553,0.4163619706636903
d,n,4498,-1.161841328144423
uj,v,4487,-0.639406393219472
nrfg,n,4426,1.4618348283251381
c,v,4403,0.40029632015025124
p,ns,4263,1.8504904399251527
a,uj,4025,1.5544096757235284
d,a,3650,1.4687090037553072
vn,uj,3608,0.9746553568811256
ns,ns,3532,1.5740933859453479
n,ns,3456,-1.463130538895719
n,u,3454,0.9302440653200548
x,c,3452,-0.04234994749724863
u,n,3421,0.932052682124989
vn,vn,3418,0.4825135292972498
nt,n,3301,0.3985284711514157
b,n,3229,1.0360607034567022
x,l,3214,0.32391813745252573
f,v,3188,0.3019381767987236
x,nt,3179,0.933614931224445
uj,a,3009,1.150855951175787
n,l,2971,-0.26546492561726237
x,i,2927,0.7334944687979417
x,nrfg,2906,1.5874364540180252
v,c,2898,-0.2106214323992834
v,nr,2836,-0.5079643853084838
v,l,2693,0.15286582299909424
v,f,2688,0.04634063524984481
j,n,2642,0.2280440701548612
d,x,2398,-1.7394423111793826
d,p,2381,0.9900897245440481
l,n,2363,-0.6040941844641446
nz,x,2338,0.2545045395354444
x,j,2294,0.5104635637805098
nz,n,2232,-0.1422843824956576
p,m,2212,0.15654461257850008
v,nz,2203,0.4168092202255512
uj,vn,2164,0.24509441955935501
uj,x,2140,-1.9429038685632125
t,n,2110,-0.7246035444691495
m,t,2090,1.6519621046946302
ad,v,2051,1.442815219440424
x,f,2044,-0.43290069131128484
x,nz,2040,0.2218054926635359
f,n,2019,-0.9222806491448133
ns,vn,1995,0.20188155038718378
t,v,1958,-0.26725767117546395
a,vn,1938,0.08589457724463344
n,i,1912,-0.35680749286016905
d,d,1877,0.5512936682175219
uj,m,1843,-0.18586292723476364
d,m,1828,-0.15841223254929218
n,nz,1791,-0.4419600614394696
x,ad,1786,1.153298718393336
n,r,1760,-1.5149451837809487
n,j,1733,-0.3700919123052542
p,a,1707,0.4121471280794584
p,r,1694,1.4407684030469938
m,a,1693,-0.3584029745512877
v,i,1650,-0.00935886775764003
x,uj,1649,-2.188700971406383
nz,vn,1631,1.9068949772999337
r,d,1604,1.2595518967218235
vn,a,1595,-0.1869045196167473
v,t,1571,-0.4519786565510731
uj,ns,1570,0.33027371853093507
d,vn,1541,-0.20549852249455977
r,x,1540,-1.4433308821310873
l,v,1522,-0.6735373476499077
p,x,1511,-2.3658987794776225
ns,m,1509,-0.4002273087938576
ul,n,1507,-0.02744461301526018
j,v,1499,-0.02437790585956903
v,nt,1495,-0.07070921610807317
j,x,1483,-0.27521677930870286
a,a,1474,0.1212404550345325
p,vn,1461,-0.2425376762546918
nt,v,1398,-0.2758021994111454
ns,uj,1391,0.09571010982434935
vn,c,1363,0.6507515385986012
nt,x,1361,-0.549856581238492
s,n,1358,0.3084723488006578
n,b,1338,-0.2366841744188807
i,uj,1294,1.9734495584641403
c,vn,1285,0.5601293329229551
f,uj,1263,1.316787570228795
r,m,1240,0.2166745545471313
vn,d,1236,-0.5127297220785225
uj,nr,1230,0.6585141895396361
n,t,1229,-1.366242045422707
v,uz,1181,2.2718349317519886
ns,nr,1165,0.6542847123996127
x,b,1150,0.020833310001504884
r,uj,1145,0.7150898368598513
l,uj,1140,1.2601745015316417
t,m,1125,0.6705251443555803
v,j,1085,-0.48560340018348314
ns,d,1081,-0.2099102705918811
ul,x,1063,-0.20113141375334612
v,b,1042,-0.037341888831734116
ns,p,1032,-0.18117673701621087
r,vn,1032,0.15109032329416447
vn,m,1024,-1.4557360709769065
m,ns,1005,-0.9928521314711426
