word,freq_2025,freq_1998,rel_2025,rel_1998,rel_diff
习近平,673,0,0.00785398,0.00000000,0.00785398
总书记,467,97,0.00544994,0.00015838,0.00529156
推进,421,312,0.00491312,0.00050943,0.00440369
推动,408,313,0.00476140,0.00051106,0.00425034
发展,795,3215,0.00927774,0.00524941,0.00402833
全面,380,456,0.00443464,0.00074455,0.00369009
2024,287,0,0.00334932,0.00000000,0.00334932
建设,479,1738,0.00558998,0.00283778,0.00275220
创新,236,112,0.00275415,0.00018287,0.00257127
坚持,278,512,0.00324429,0.00083599,0.00240830
中国,528,2410,0.00616182,0.00393502,0.00222680
时代,206,215,0.00240404,0.00035105,0.00205299
加强,294,844,0.00343101,0.00137807,0.00205294
现代化,213,289,0.00248573,0.00047188,0.00201386
提升,169,20,0.00197225,0.00003266,0.00193959
养老,160,13,0.00186722,0.00002123,0.00184599
中国式,158,2,0.00184388,0.00000327,0.00184061
一年,157,0,0.00183221,0.00000000,0.00183221
高质量,147,0,0.00171551,0.00000000,0.00171551
服务,247,747,0.00288252,0.00121969,0.00166283
乡村,148,57,0.00172718,0.00009307,0.00163411
持续,175,258,0.00204227,0.00042126,0.00162101
重要,271,969,0.00316260,0.00158217,0.00158043
深入,172,302,0.00200726,0.00049310,0.00151416
深化,147,153,0.00171551,0.00024982,0.00146569
基层,155,218,0.00180887,0.00035595,0.00145292
领域,163,279,0.00190223,0.00045555,0.00144668
思想,187,458,0.00218231,0.00074782,0.00143449
党中央,150,202,0.00175052,0.00032982,0.00142069
反腐败,120,0,0.00140041,0.00000000,0.00140041
监督,157,273,0.00183221,0.00044575,0.00138646
文化,242,888,0.00282417,0.00144991,0.00137425
落实,162,317,0.00189056,0.00051759,0.00137296
纪检监察,112,0,0.00130705,0.00000000,0.00130705
不断,170,418,0.00198392,0.00068250,0.00130141
机制,150,281,0.00175052,0.00045881,0.00129170
群众,242,983,0.00282417,0.00160503,0.00121914
保障,127,163,0.00148210,0.00026614,0.00121596
完善,129,186,0.00150544,0.00030370,0.00120175
产业,174,559,0.00203060,0.00091273,0.00111787
强化,108,96,0.00126037,0.00015675,0.00110362
学习,154,435,0.00179720,0.00071026,0.00108693
体系,129,257,0.00150544,0.00041963,0.00108582
从严治党,90,0,0.00105031,0.00000000,0.00105031
进一步,170,572,0.00198392,0.00093395,0.00104996
部署,110,150,0.00128371,0.00024492,0.00103879
10,89,0,0.00103864,0.00000000,0.00103864
全球,106,124,0.00123703,0.00020247,0.00103457
开展,161,525,0.00187889,0.00085721,0.00102167
日电,87,0,0.00101530,0.00000000,0.00101530
治理,99,100,0.00115534,0.00016328,0.00099206
特色,115,217,0.00134206,0.00035431,0.00098775
支持,148,457,0.00172718,0.00074618,0.00098099
社区,93,75,0.00108532,0.00012246,0.00096286
健全,93,77,0.00108532,0.00012572,0.00095960
主席,171,638,0.00199559,0.00104172,0.00095387
二十,87,48,0.00101530,0.00007837,0.00093693
整治,84,28,0.00098029,0.00004572,0.00093457
中央,133,383,0.00155212,0.00062536,0.00092677
苹果,81,15,0.00094528,0.00002449,0.00092079
法治,80,14,0.00093361,0.00002286,0.00091075
工作,415,2412,0.00484310,0.00393828,0.00090481
春节,140,449,0.00163382,0.00073312,0.00090069
更加,109,230,0.00127204,0.00037554,0.00089650
深化改革,76,0,0.00088693,0.00000000,0.00088693
加快,109,238,0.00127204,0.00038860,0.00088344
